Category     Name                                     Status    Patches  Detours  D:Fail  D:Act  
MvM          Red_Robot_Eye_Glow                       DISABLED  0        4        2       0      
MvM          Refund_Exploit_Fix                       DISABLED  0        2        1       0      
MvM          RoboSapper_Override                      DISABLED  0        3        2       0      
MvM          Robot_Limit                              DISABLED  0        6        3       0      
MvM          Robot_Multiplier                         DISABLED  0        4        0       0      
MvM          Sapper_Allow_Multiple_Active             DISABLED  0        2        2       0      
MvM          SentryBuster_Enhancements                DISABLED  0        0        0       0      
MvM          Set_Credit_Team                          FAILED    5        0        0       0      
MvM          Sub_Wave_Spawn_At_Once                   DISABLED  0        4        0       0      
MvM          Teleporter_Aggro                         DISABLED  0        1        1       0      
MvM          UpgradeStation_Regen_Improved            DISABLED  0        2        1       0      
MvM          Upgrade_Disallow                         DISABLED  0        2        2       0      
MvM          Wave_Spawn_At_Once                       DISABLED  0        6        0       0      
MvM          Weapon_AntiGrief                         DISABLED  0        11       4       0      
MvM          Weapon_Balancing                         DISABLED  0        11       4       0      
MvM          YER_Unnerf                               FAILED    1        0        0       0      
Perf         Attributes_Optimize                      DISABLED  0        5        5       0      
Perf         Extra_Player_Slots                       DISABLED  0        58       32      0      
Perf         Extra_Player_Slots_Bots                  DISABLED  0        0        0       0      
Perf         Extra_Player_Slots_Players               DISABLED  0        5        4       0      
Perf         Filesystem_Optimize                      DISABLED  0        1        1       0      
Perf         Flame_Breakable_Collision                DISABLED  0        2        1       0      
Perf         HLTV_Client_Interact                     FAILED    0        2        2       0      
Perf         HLTV_Optimize                            DISABLED  0        13       11      0      
Perf         Medigun_Shield_Damage_Events             DISABLED  0        1        0       0      
Perf         Medigun_Shield_Damage_Interval           DISABLED  0        1        0       0      
Perf         Medigun_Shield_Pathfinding               DISABLED  0        1        0       0      
Perf         Medigun_Shield_Pathfinding               DISABLED  0        1        0       0      
Perf         MvM_Load_Popfile                         DISABLED  0        6        2       0      
Perf         SendProp_Optimize                        FAILED    2        26       18      0      
Perf         SmokeStack_FS_Thrash                     DISABLED  0        1        0       0      
Perf         Squad_Escort_Optimize                    DISABLED  0        3        0       0      
Perf:        Func_Optimize                            FAILED    5        20       8       0      
Perf:        Idle_Optimize                            DISABLED  0        2        2       0      
Perf:        Input_Optimize                           DISABLED  0        1        0       0      
Perf:        Virtual_Call_Optimize                    FAILED    3        0        0       0      
Perf:        Virtual_Call_Optimize_Inline_Virtuals    DISABLED  0        5        1       0      
Pop          ECAttr_Extensions                        DISABLED  0        54       24      0      
Pop          EventPopfile_Improvements                DISABLED  0        4        2       0      
Pop          KV_Conditional                           OK        0        1        1       0      
Pop          Mission_Extensions                       DISABLED  0        5        1       0      
Pop          Nested_Complex_Spawners                  DISABLED  0        8        1       0      
Pop          PointTemplates                           OK        0        12       8       4      
Pop          PopMgr_Extensions                        OK        0        126      60      66     
Pop          TFBot_Extensions                         DISABLED  0        66       27      0      
Pop          Tank_Extensions                          DISABLED  0        33       12      0      
Pop          WaveSpawn_Extensions                     DISABLED  0        30       4       0      
Pop          Wave_Extensions                          DISABLED  0        18       5       0      
Pop:ExtAttr  AlwaysFireWeaponAlt                      DISABLED  0        1        1       0      
