Attr:Custom_Attributes	CTFChargedSMG::SecondaryAttack
Attr:Custom_Attributes	CTFCompoundBow::GetProjectileSpeed
Attr:Custom_Attributes	CTFCompoundBow::LaunchGrenade
Attr:Custom_Attributes	CTFCrossbow::GetProjectileSpeed
Attr:Custom_Attributes	CTFDroppedWeapon::Create
Attr:Custom_Attributes	CTFFlameManager::BCanBurnEntityThisFrame
Attr:Custom_Attributes	CTFFlameThrower::SetWeaponState
Attr:Custom_Attributes	CTFFlareGun_Revenge::Deploy
Attr:Custom_Attributes	CTFFlareGun_Revenge::Holster
Attr:Custom_Attributes	CTFGameMovement::PreventBunnyJumping
Attr:Custom_Attributes	CTFGameMovement::ToggleParachute [clone]
Attr:Custom_Attributes	CTFGameRules::FPlayerCanTakeDamage
Attr:Custom_Attributes	CTFGameRules::OnPlayerSpawned
Attr:Custom_Attributes	CTFGrapplingHook::GetProjectileSpeed
Attr:Custom_Attributes	CTFGrapplingHook::ItemPostFrame
Attr:Custom_Attributes	CTFJar::TossJarThink
Attr:Custom_Attributes	CTFMinigun::CanHolster
Attr:Custom_Attributes	CTFMinigun::SetWeaponState
Attr:Custom_Attributes	CTFMinigun::WindDown
Attr:Custom_Attributes	CTFMinigun::WindUp
Attr:Custom_Attributes	CTFPistol_ScoutSecondary::GetDamageType
Attr:Custom_Attributes	CTFPlayer::AddObject [clone]
Attr:Custom_Attributes	CTFPlayer::CanDisguise
Attr:Custom_Attributes	CTFPlayer::CanGoInvisible
Attr:Custom_Attributes	CTFPlayer::ClearTauntAttack
Attr:Custom_Attributes	CTFPlayer::CreateRagdollEntity [args]
Attr:Custom_Attributes	CTFPlayer::DropAmmoPack
Attr:Custom_Attributes	CTFPlayer::DropCurrencyPack
Attr:Custom_Attributes	CTFPlayer::GetOpposingTFTeam
Attr:Custom_Attributes	CTFPlayer::GetSceneSoundToken
Attr:Custom_Attributes	CTFPlayer::InspectButtonPressed
Attr:Custom_Attributes	CTFPlayer::IsAllowedToInitiateTauntWithPartner
Attr:Custom_Attributes	CTFPlayer::IsAllowedToTaunt
Attr:Custom_Attributes	CTFPlayer::IsReadyToSpawn
Attr:Custom_Attributes	CTFPlayer::ItemsMatch [clone]
Attr:Custom_Attributes	CTFPlayer::ReapplyItemUpgrades
Attr:Custom_Attributes	CTFPlayer::RemoveAllOwnedEntitiesFromWorld
Attr:Custom_Attributes	CTFPlayer::RemoveObject
Attr:Custom_Attributes	CTFPlayer::SetGrapplingHookTarget
Attr:Custom_Attributes	CTFPlayerShared::Burn
Attr:Custom_Attributes	CTFPlayerShared::CalculateObjectCost
Attr:Custom_Attributes	CTFPlayerShared::GetMaxBuffedHealth
Attr:Custom_Attributes	CTFPlayerShared::OnAddBalloonHead
Attr:Custom_Attributes	CTFPlayerShared::PulseMedicRadiusHeal [clone]
Attr:Custom_Attributes	CTFPlayerShared::SetChargeEffect
Attr:Custom_Attributes	CTFPlayerShared::UpdateCloakMeter [clone]
Attr:Custom_Attributes	CTFPlayerShared::UpdateEnergyDrinkMeter [clone]
Attr:Custom_Attributes	CTFPlayer::ShouldGainInstantSpawn
Attr:Custom_Attributes	CTFPlayer::SpyDeadRingerDeath
Attr:Custom_Attributes	CTFPlayer::StopTaunt
Attr:Custom_Attributes	CTFPlayer::UpdateOnRemove
Attr:Custom_Attributes	CTFPlayer::WantsLagCompensationOnEntity
Attr:Custom_Attributes	CTFProjectile_Arrow::BreakArrow
Attr:Custom_Attributes	CTFProjectile_Arrow::CanHeadshot
Attr:Custom_Attributes	CTFProjectile_Arrow::CheckSkyboxImpact
Attr:Custom_Attributes	CTFProjectile_Arrow::CreateTrail
Attr:Custom_Attributes	CTFProjectile_Arrow::FadeOut
Attr:Custom_Attributes	CTFProjectile_Arrow::IsDeflectable
Attr:Custom_Attributes	CTFProjectile_Arrow::StrikeTarget
Attr:Custom_Attributes	CTFProjectile_BallOfFire::RocketTouch
Attr:Custom_Attributes	CTFProjectile_EnergyRing::CanHeadshot
Attr:Custom_Attributes	CTFProjectile_EnergyRing::Create
Attr:Custom_Attributes	CTFProjectile_EnergyRing::ProjectileTouch
Attr:Custom_Attributes	CTFProjectile_EnergyRing::ShouldPenetrate
